source,target,isSourceSelected,isTargetSelected,frequency
adobo,ale,0,0,0.0
adobo,alfredo sauce,0,0,1.0
adobo,allspice,0,0,8.0
adobo,almond,0,0,3.0
adobo,almond extract,0,0,0.0
adobo,amaretto,0,0,0.0
adobo,apple,0,0,3.0
adobo,apple juice,0,0,0.0
adobo,applesauce,0,0,0.0
adobo,apricot,0,0,0.0
adobo,artichoke hearts,0,0,0.0
adobo,arugula,0,0,1.0
adobo,asparagus,0,0,1.0
adobo,avocado,0,0,34.0
adobo,baby spinach leaf,0,0,0.0
adobo,bacon,0,0,17.0
adobo,bacon bits,0,0,0.0
adobo,baguette,0,0,0.0
adobo,baking powder,0,0,4.0
adobo,banana,0,0,0.0
adobo,barbecue sauce,0,0,10.0
adobo,barley,0,0,1.0
adobo,basil,0,0,6.0
adobo,basil leaf,0,0,0.0
adobo,bay leaf,0,0,11.0
adobo,bean,0,0,60.0
adobo,beef,0,0,22.0
adobo,beef bouillon cube,0,0,0.0
adobo,beef stock,0,0,3.0
adobo,beer,0,0,13.0
adobo,beets,0,0,0.0
adobo,berries,0,0,1.0
adobo,biscuits,0,0,1.0
adobo,bisquick,0,0,0.0
adobo,bisquick baking mix,0,0,0.0
adobo,blackberries,0,0,0.0
adobo,blueberries,0,0,1.0
adobo,boneless chicken breast,0,0,3.0
adobo,boneless skinless chicken breast,0,0,19.0
adobo,bouillon,0,0,1.0
adobo,bourbon,0,0,2.0
adobo,bran,0,0,0.0
adobo,brandy,0,0,0.0
adobo,bread,0,0,7.0
adobo,breadcrumb,0,0,13.0
adobo,brisket,0,0,5.0
adobo,broccoli,0,0,2.0
adobo,broth,0,0,44.0
adobo,browns,0,0,0.0
adobo,buns,0,0,8.0
adobo,butter,0,0,53.0
adobo,buttermilk,0,0,3.0
adobo,butternut squash,0,0,1.0
adobo,cabbage,0,0,11.0
adobo,cacao,0,0,0.0
adobo,cajun seasoning,0,0,1.0
adobo,cake,0,0,0.0
adobo,candies,0,0,0.0
adobo,capers,0,0,0.0
adobo,capsicum,0,0,0.0
adobo,cardamom,0,0,1.0
adobo,carrot,0,0,17.0
adobo,cashews,0,0,1.0
adobo,catsup,0,0,2.0
adobo,cauliflower,0,0,2.0
